macro_id,macro_name_ko,macro_name_en,macro_type
M_1090,일본은행금리정상화,BOJ Rate Normalization,Monetary
M_1091,일본기업지배구조개혁,Japan Corporate Governance Reform,Policy
M_1092,미-이란중동전쟁,US-Iran Middle East War,Geopolitics
M_1093,UAM인증규제,UAM Certification/Regulation,Policy
M_1094,안전자산선호,Safe-Haven Demand,Market
M_1095,중국AIPCB공격적증설우려,China AI PCB Aggressive Capacity Concern,Supply
M_1096,26년중국PCB공격적증설사이클,2026 China PCB Aggressive Expansion Cycle,Supply
M_1097,빅테크자체칩개발가속,Big Tech Custom Silicon Acceleration,Technology
M_1098,SCFI상하이컨테이너운임지수,SCFI Shanghai Containerized Freight Index,Market
M_1099,글로벌원자재수요,Global Commodity Demand,Demand
M_1100,오픈AI상장성공여부,OpenAI IPO Success,Policy
M_1101,애플-오픈AI지재권소송,Apple-OpenAI IP Lawsuit,Policy
